"
Samuel LarochelleCollaboration spécialeLa Presse",2018-01-19 09:42EST,Destinations
"
Agence France-PresseMANILLE",2018-01-19 09:38EST,Espèces menacées
"
Marie AllardLa PresseSuivre @AllardMarie",2018-01-19 09:58EST,En forme
"
Andrew DampfAssociated PressCortina d'Ampezzo, Italie",2018-01-19 09:58EST,Ski alpin
"
Agence France-Presse",2018-01-19 10:05EST,Médecine
"
Marie AllardLa PresseSuivre @AllardMarie",2018-01-19 10:08EST,Aliment sous la loupe
"
Agence France-PresseLondres",2018-01-19 10:07EST,Soccer
"
Iris Gagnon-ParadisLa Presse",2018-01-19 10:11EST,Restaurants
"
Iris Gagnon-ParadisLa Presse",2018-01-19 10:11EST,Restaurants
"
Gabriel BélandLa PresseSuivre @gabrielbeland",2018-01-19 10:19EST,Politique canadienne
"
Marie-Eve MorasseLa PresseSuivre @marieevemo",2018-01-19 10:25EST,Éducation
"
Sylvie LANTEAUMEAgence France-PresseWASHINGTON",2018-01-19 10:20EST,États-Unis
"
Agence France-PresseNEW YORK",2018-01-19 10:31EST,Marchés
"
Associated PressLondres",2018-01-19 10:41EST,Musique
"
La Presse Canadienne",2018-01-19 10:53EST,Procès
"
La Presse",2018-01-19 10:54EST,Sports de combat
"
Lisa WallaceLa Presse CanadienneOttawa",2018-01-19 11:00EST,Hockey
"
Joël-Denis BellavanceLa Presse",2018-01-19 11:00EST,Politique canadienne
"
Alexandre Geoffrion-McInnisLa Presse CanadienneMont-Tremblant",2018-01-19 11:15EST,Ski acrobatique
"
Nathalie CollardLa PresseSuivre @NathalieCollard",2018-01-19 11:22EST,Médias
"
André DuchesneLa Presse",2018-01-19 11:24EST,Critiques
"
Agence France-PresseSaint-Pétersbourg, Russie",2018-01-19 11:26EST,Insolite
"
Louis-Samuel PerronLa PresseSuivre @lsp_10",2018-01-19 11:30EST,Procès
"
Agence France-PresseNEW YORK",2018-01-19 11:31EST,États-Unis
"
Frédéric DaigleLa Presse Canadienne",2018-01-19 11:33EST,Soccer
"
Philippe SchwabAgence France-PresseVienne",2018-01-19 11:34EST,Arts visuels
"
Denis LessardLa PresseSuivre @denis_lessard",2018-01-19 11:43EST,Politique québécoise
"
Sébastien BLANCAgence France-PresseWASHINGTON",2018-01-19 11:49EST,États-Unis
"
Guillaume LefrançoisLa PresseSuivre @glefrancoislp",2018-01-19 11:50EST,Hockey
"
Vincent LaroucheLa PresseSuivre @VinceLarouche",2018-01-19 11:54EST,Faits divers
"
Agence France-PresseBAGDAD",2018-01-19 11:57EST,Moyen-Orient
"
Mylène CrêteLa Presse CanadienneOttawa",2018-01-19 12:16EST,Actualités judiciaires
"
Mélanie MarquisLa Presse CanadienneOttawa",2018-01-19 12:24EST,Politique canadienne
"
Laurence COUSTALAgence France-PresseEvry",2018-01-19 12:31EST,Génétique
"
Agence France-PresseWASHINGTON",2018-01-19 12:32EST,États-Unis
"
Julien ArsenaultLa Presse Canadienne",2018-01-19 12:45EST,Agroalimentaire
"
Louis-Samuel PerronLa PresseSuivre @lsp_10",2018-01-19 12:43EST,Procès
"
La Presse CanadienneRegina",2018-01-19 12:57EST,Football
"
Jamey KeatenAssociated PressLausanne, Suisse",2018-01-19 13:00EST,PyeongChang 2018
"
Agence France-PresseSTOCKHOLM",2018-01-19 13:04EST,Internet
"
La Presse CanadienneVancouver",2018-01-19 13:27EST,Livres
"
Agence France-PresseSÉOUL",2018-01-19 13:33EST,Musique
"
Chantal GuyLa PresseSuivre @ChantalGuy",2018-01-19 13:37EST,Livres
"
Agence France-PresseNew York",2018-01-19 13:40EST,Nouvelles
"
Agence France-PressePARIS",2018-01-19 13:48EST,En forme
"
Anne-Laure MONDESERTAgence France-PresseParis",2018-01-19 13:54EST,Mode
"
Pierre Saint-ArnaudLa Presse Canadienne",2018-01-19 13:36EST,Économie
"
Katell ABIVEN, Catherine MARCIANOAgence France-PressePUERTO MALDONADO",2018-01-19 13:51EST,Amérique latine
"
La Presse Canadienne",2018-01-19 13:58EST,Canada
"
Stéphanie MarinLa Presse CanadienneSHERBROOKE",2018-01-19 14:37EST,Procès
"
Agence France-PresseWASHINGTON",2018-01-19 14:31EST,États-Unis
"
",2018-01-19 14:42EST,Entreprises
"
Agence France-PresseNew York",2018-01-19 15:00EST,Football
"
LIA LÉVESQUELa Presse Canadienne",2018-01-19 15:09EST,Économie
"
Agence France-PresseLos Angeles",2018-01-19 15:13EST,États-Unis
"
Lia LévesqueLa Presse CanadienneQUÉBEC",2018-01-19 15:21EST,Politique québécoise
"
Agence France-PresseParis",2018-01-19 15:32EST,Nouvelles
"
La Presse CanadienneMONTRÉAL",2018-01-19 15:32EST,Santé
"
Julien ArsenaultLa Presse Canadienne",2018-01-19 15:32EST,Transports
"
Laure FILLONAgence France-PressePARIS",2018-01-19 15:35EST,Nouvelles
"
Agence France-PresseLONDRES",2018-01-19 15:41EST,Musique
"
La Presse CanadienneMAHONE BAY, NOUVELLE-ÉCOSSE",2018-01-19 15:45EST,Bières
"
Nova SafoAgence France-PresseChicago",2018-01-19 15:47EST,Sports
"
Iris Gagnon-ParadisLa Presse",2018-01-19 15:54EST,Gourmand
"
La Presse CanadienneOTTAWA",2018-01-19 15:41EST,Canada
"
Marc-André LussierLa PresseSuivre @malussier",2018-01-19 16:07EST,Nouvelles
"
Kathleen LévesqueLa PresseSuivre @katlevesque",2018-01-19 16:07EST,Procès
"
Agence France-PresseLOS ANGELES",2018-01-19 16:23EST,Nouvelles
"
Mylène CrêteLa Presse Canadienne",2018-01-19 16:45EST,Pollution
"
La Presse CanadienneOttawa",2018-01-19 16:55EST,Transports
"
La Presse Canadienne",2018-01-19 16:53EST,Politique québécoise
"
La Presse Canadienne",2018-01-19 17:21EST,Régional
"
Sam EkstromAssociated PressEDEN PRAIRIE, Minn.",2018-01-19 17:10EST,Football
"
Associated PressLAUSANNE, Suisse",2018-01-19 17:30EST,PyeongChang 2018
"
La Presse Canadienne",2018-01-19 17:33EST,Autres sports
"
Agence France-Presse",2018-01-19 17:52EST,Caraïbes
"
La Presse Canadienne",2018-01-19 18:06EST,National
"
Ian BickisLa Presse CanadienneCalgary",2018-01-19 18:25EST,Commerce de détail
"
Agence France-Presse",2018-01-19 18:31EST,États-Unis
"
La Presse CanadienneOttawa",2018-01-19 18:32EST,Canada
"
Associated PressNEW YORK",2018-01-19 18:36EST,Hockey
"
La Presse Canadienne",2018-01-19 19:03EST,Justice et faits divers
"
Agence France-Presse",2018-01-19 19:22EST,Europe
"
La Presse Canadienne",2018-01-19 19:32EST,Procès
"
Agence France-Presse",2018-01-19 20:02EST,Amérique latine
"
Vincent LaroucheLa PresseSuivre @VinceLarouche",2018-01-19 20:07EST,Justice et faits divers
"
Associated Press",2018-01-19 20:28EST,Musique
"
Agence France-Presse",2018-01-19 20:58EST,Réseaux sociaux
"
Agence France-Presse",2018-01-19 21:46EST,Europe
"
Associated Press",2018-01-19 21:56EST,Basketball
"
La Presse Canadienne",2018-01-19 22:24EST,Hockey
"
Agence France-Presse",2018-01-19 23:07EST,Asie & Océanie
"
La Presse Canadienne",2018-01-19 23:20EST,Ski acrobatique
"
Mathias BrunetSuivre @mathiasbrunet",2018-01-19 10:33EST,Mathias Brunet
"
Richard HétuSuivre @richardhetu",2018-01-19 07:45EST,International
"
Richard HétuSuivre @richardhetu",2018-01-19 07:45EST,International
"
Violaine BallivyLa PresseSuivre @vioballivy",2018-01-20 08:00EST,Nouvelles
"
Marie-Andrée AmiotLa Presse",2018-01-20 08:00EST,Maisons de luxe
"
Danielle Bonneau, Silvia GalipeauLa PresseSuivre @lamereblogue",2018-01-20 08:00EST,Société
"
André DuchesneLa Presse",2018-01-20 08:00EST,Nouvelles
"
André DuchesneLa Presse",2018-01-20 08:00EST,Nouvelles
"
Stéphane LaporteCollaboration spécialeLa PresseSuivre @laportestephane",2018-01-20 05:00EST,Le clin d'oeil de Stéphane Laporte
"
Alexandre SiroisLa PresseSuivre @alexandresirois",2018-01-20 05:00EST,Alexandre Sirois
"
Philippe CantinLa PresseSuivre @philippecantin",2018-01-20 05:00EST,Philippe Cantin
"
Denis LessardLa PresseSuivre @denis_lessard",2018-01-20 05:00EST,Actualités
"
Marie-Eve MorasseLa PresseSuivre @marieevemo",2018-01-20 05:00EST,Éducation
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-01-20 05:00EST,Grand Montréal
"
Agence France-Presse",2018-01-20 00:00EST,Sports aquatiques
"
Jerome CARTILLIERAgence France-PresseWashington",2018-01-20 07:02EST,États-Unis
"
Eric BERNAUDEAUAgence France-PresseLAUSANNE",2018-01-20 07:16EST,PyeongChang 2018
"
Agence France-PresseISTANBUL",2018-01-20 07:40EST,Europe
"
Nicole DESHAYESAgence France-PresseLYON",2018-01-20 07:44EST,Cuisine
"
La Presse CanadienneLA TUQUE, Qc",2018-01-20 08:06EST,Faits divers
"
Marissa GroguhéLa Presse",2018-01-20 08:12EST,National
"
Agence France-PresseMELBOURNE",2018-01-20 08:16EST,Tennis
"
Agence France-Presse",2018-01-20 08:20EST,Asie & Océanie
"
Associated PressLAGOS",2018-01-20 08:26EST,Afrique
"
Agence France-PresseMELBOURNE",2018-01-20 08:30EST,Tennis
"
Agence France-PresseMADRID",2018-01-20 08:34EST,Europe
"
Agence France-PresseSAN FRANCISCO",2018-01-20 08:39EST,Réseaux sociaux
"
Maram MAZENAgence France-PresseLE CAIRE",2018-01-20 08:58EST,Afrique
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-01-20 09:15EST,Grand Montréal
"
Vincent Brousseau-PouliotLa PresseSuivre @vincentbp",2018-01-20 09:18EST,Québec
"
André DuchesneLa Presse",2018-01-20 09:31EST,Télévision
"
Agence France-PresseKINSHASA",2018-01-20 09:56EST,Afrique
"
Agence France-Presse",2018-01-20 10:01EST,Moyen-Orient
"
Associated Press",2018-01-20 10:08EST,États-Unis
"
Agence France-Presse",2018-01-20 10:11EST,Faits divers
"
Agence France-PresseLONDRES",2018-01-20 10:16EST,Vie de stars
"
Agence France-PresseLOS ANGELES",2018-01-20 11:07EST,Nouvelles
"
La Presse Canadienne",2018-01-20 11:23EST,Soccer
"
La Presse CanadienneMONTRÉAL",2018-01-20 11:35EST,Politique québécoise
"
Usman SHARIFIAgence France-PresseKaboul",2018-01-20 12:08EST,Moyen-Orient
"
Richard LabbéLa PresseSuivre @Richardlabbe",2018-01-20 12:22EST,Hockey
"
La Presse Canadienne",2018-01-20 12:53EST,Faits divers
"
Catherine TRIOMPHE avec Maggy DONALDSONAgence France-PresseWashington",2018-01-20 13:38EST,États-Unis
"
Agence France-PresseBeyrouth",2018-01-20 14:25EST,Moyen-Orient
"
La Presse CanadienneMONT-TREMBLANT",2018-01-20 14:56EST,Ski acrobatique
"
Agence France-PressePARIS",2018-01-20 14:55EST,Europe
"
Agence France-PresseWASHINGTON",2018-01-20 15:14EST,États-Unis
"
La Presse Canadienne",2018-01-20 15:38EST,Grand Montréal
"
La Presse Canadienne",2018-01-20 16:13EST,National
"
Agence France-Presse",2018-01-20 17:03EST,Amérique latine
"
Jonah BronsteinAssociated PressBUFFALO, N.Y.",2018-01-20 17:16EST,Hockey
"
Guillaume LefrançoisLa PresseSuivre @glefrancoislp",2018-01-20 17:18EST,Hockey
"
Alexandre Geoffrion-McInnisLa Presse CanadienneMont-Tremblant, Qc",2018-01-20 17:27EST,Ski acrobatique
"
La Presse Canadienne",2018-01-20 18:26EST,Politique québécoise
"
Teresa M. WalkerAssociated PressNASHVILLE",2018-01-20 18:54EST,Football
"
La Presse Canadienne",2018-01-20 19:00EST,Régional
"
Associated PressDenver",2018-01-20 19:14EST,Hockey
"
Associated Press",2018-01-20 20:09EST,Asie & Océanie
"
Agence France-Presse",2018-01-20 21:08EST,PyeongChang 2018
"
La Presse Canadienne",2018-01-20 21:49EST,Football
"
La Presse Canadienne",2018-01-20 21:56EST,Hockey
"
La Presse Canadienne",2018-01-20 22:27EST,Hockey
"
Richard HétuSuivre @richardhetu",2018-01-20 09:24EST,International
"
Catherine SchlagerLa PresseSuivre @Cath_Schlager",2018-01-21 08:00EST,Bière de la semaine
"
Violaine BallivyLa PresseSuivre @vioballivy",2018-01-21 08:00EST,Nouvelles
"
Catherine HandfieldLa Presse",2018-01-21 08:00EST,Santé
"
André DuchesneLa Presse",2018-01-21 08:00EST,Nouvelles
"
André DuchesneLa Presse",2018-01-21 08:00EST,Nouvelles
"
Luc BoulangerLa PresseSuivre @lucboulanger2",2018-01-21 08:00EST,Danse
"
Stéphane LaporteCollaboration spécialeLa PresseSuivre @laportestephane",2018-01-21 05:00EST,Le clin d'oeil de Stéphane Laporte
"
François CardinalLa PresseSuivre @F_Cardinal",2018-01-21 05:00EST,François Cardinal
"
Marc CassiviLa PresseSuivre @MarcCassivi",2018-01-21 05:00EST,Marc Cassivi
"
Joël-Denis BellavanceLa Presse",2018-01-21 05:00EST,Actualités
"
Bruno BissonLa Presse",2018-01-21 05:00EST,Grand Montréal
"
Suzanne ColpronLa Presse",2018-01-21 05:00EST,Grand Montréal
"
Hugo Pilon-LaroseLa PresseSuivre @hugopilonlarose",2018-01-21 00:00EST,Régional
"
Agence France-Presse",2018-01-21 00:01EST,Tennis
"
Usman SHARIFIAgence France-PresseKaboul",2018-01-21 07:27EST,Moyen-Orient
"
Agence France-PresseMexico",2018-01-21 07:40EST,Amérique latine
"
Julien GIRAULTAgence France-PressePékin",2018-01-21 07:54EST,Économie
"
Marthe BOSUANDOLE, Bienvenu-Marie BAKUMANYAAgence France-PresseKinshasa",2018-01-21 07:58EST,Afrique
"
Agence France-Presse",2018-01-21 08:04EST,Guerre civile en Syrie
"
Vassilis KYRIAKOULIS, Katerina NIKOLOPOULOUAgence France-PresseTHESSALONIQUE ET ATHÈNES",2018-01-21 08:12EST,Europe
"
Agence France-PresseMELBOURNE",2018-01-21 08:17EST,Tennis
"
Marion PAYET, Antoine LAMBROSCHINIAgence France-PresseBonn et Berlin",2018-01-21 08:17EST,Europe
"
Agence France-PresseDamas",2018-01-21 08:21EST,Le groupe État islamique
"
Agence France-PresseMADRID",2018-01-21 08:23EST,Vie de stars
"
Caroline PlanteLa Presse CanadiennePékin",2018-01-21 08:30EST,Actualités
"
Jacques LEMIEUXAgence France-PresseMONTRÉAL",2018-01-21 08:32EST,Canada
"
Philippe MercureLa PresseSuivre @philmercure",2018-01-21 08:38EST,Médecine
"
Marie-Claude LortieLa PresseSuivre @mclortie",2018-01-21 09:02EST,Personnalité de la semaine
"
Sammy KetzAgence France-PresseBagdad",2018-01-21 09:09EST,Le groupe État islamique
"
Veronique DUPONTAgence France-PresseLos Angeles",2018-01-21 09:31EST,Cinéma
"
Caroline PlanteLa Presse CanadiennePékin",2018-01-21 10:25EST,Politique québécoise
"
Agence France-PresseLondres",2018-01-21 10:45EST,Europe
"
Catherine MARCIANO, Katell ABIVENAgence France-PresseLima",2018-01-21 10:51EST,Amérique latine
"
Agence France-PresseLYON",2018-01-21 11:15EST,Cuisine
"
Michel LamarcheLa Presse Canadienne",2018-01-21 11:36EST,Hockey
"
Jerome CARTILLIERAgence France-PresseWashington",2018-01-21 11:53EST,États-Unis
"
Mélanie MarquisLa Presse CanadienneOTTAWA",2018-01-21 12:11EST,Canada
"
Associated PressBOSTON",2018-01-21 12:28EST,Baseball
"
Giuseppe ValianteLa Presse Canadienne",2018-01-21 12:26EST,Grand Montréal
"
Louise LeducLa Presse",2018-01-21 12:36EST,Santé
"
Vicky Fragasso-MarquisLa Presse Canadienne",2018-01-21 13:08EST,Santé
"
La Presse Canadienne",2018-01-21 13:14EST,Grand Montréal
"
Louise LeducLa Presse",2018-01-21 13:21EST,Réseaux sociaux
"
Laurent LOZANOAgence France-PresseJérusalem",2018-01-21 13:29EST,Moyen-Orient
"
La Presse CanadienneERFURT, Allemagne",2018-01-21 13:43EST,Patinage de vitesse
"
La Presse Canadienne",2018-01-21 14:10EST,Politique canadienne
"
Agence France-Presse",2018-01-21 14:16EST,Commerce de détail
"
La Presse Canadienne",2018-01-21 14:22EST,Soccer
"
Agence France-Presse",2018-01-21 14:35EST,Europe
"
Agence France-Presse",2018-01-21 14:42EST,États-Unis
"
Tom WithersAssociated PressINDEPENDENCE, Ohio",2018-01-21 15:18EST,Basketball
"
La Presse Canadienne",2018-01-21 15:26EST,Politique verte
"
La Presse CanadienneWASHINGTON",2018-01-21 15:31EST,Hockey
"
La Presse CanadienneBob Weber",2018-01-21 15:48EST,Environnement
"
La Presse Canadienne",2018-01-21 16:47EST,Nouvelles
"
La Presse Canadienne",2018-01-21 17:57EST,National
"
Dennis Waszak Jr.La Presse",2018-01-21 18:07EST,Football
"
Audrey Ruel-ManseauLa PresseSuivre @aruelmanseau",2018-01-21 18:14EST,Politique canadienne
"
Philippe AGRET, Damon WAKEAgence France-PresseBruxelles",2018-01-21 18:20EST,Moyen-Orient
"
",2018-01-21 18:20EST,Économie
"
Agence France-Presse",2018-01-21 20:29EST,Économie
"
John PyeAssociated PressMelbourne, Australie",2018-01-21 20:33EST,Tennis
"
Associated Press",2018-01-21 20:59EST,Golf
"
Associated PressRaleigh",2018-01-21 21:30EST,Hockey
"
Barry WilnerAssociated PressPhiladelphie",2018-01-21 21:47EST,Football
"
Agence France-PresseYala",2018-01-21 21:50EST,Asie & Océanie
"
Associated PressWinnipeg",2018-01-21 23:13EST,Hockey
"
Patrick BAERTAgence France-PressePékin",2018-01-21 23:59EST,Pollution
"
Richard HétuSuivre @richardhetu",2018-01-21 18:45EST,International
"
Richard HétuSuivre @richardhetu",2018-01-21 09:02EST,International
"
Stéphane LaporteLa PresseSuivre @laportestephane",2018-01-22 00:00EST,Le clin d'oeil de Stéphane Laporte
"
Denis LessardLa PresseSuivre @denis_lessard",2018-01-22 05:00EST,Politique québécoise
"
Joël-Denis BellavanceLa Presse",2018-01-22 05:00EST,Politique canadienne
"
Paul JournetLa PresseSuivre @PaulJournet",2018-01-22 05:00EST,Paul Journet
"
Hugo DumasLa PresseSuivre @hugodumas",2018-01-22 05:00EST,Hugo Dumas
"
Gabriel BélandLa PresseSuivre @gabrielbeland",2018-01-22 00:00EST,Transports
"
Tristan PéloquinLa PresseSuivre @TristanPeloquin",2018-01-22 05:00EST,Santé
"
Associated PressAnaheim",2018-01-22 00:07EST,Hockey
"
Simon-Olivier LorangeLa Presse",2018-01-22 06:26EST,Faits divers
"
Mushtaq MOJADDIDIAgence France-PresseKaboul",2018-01-22 06:26EST,Moyen-Orient
"
Agence France-Presse",2018-01-22 06:37EST,Tennis
"
Bulent KILIC, Gokan GUNESAgence France-PresseHassa, ISTANBUL",2018-01-22 06:38EST,Guerre civile en Syrie
"
La Presse",2018-01-22 06:56EST,Marchés
"
John PyeAssociated PressMelbourne, Australie",2018-01-22 06:59EST,Tennis
"
Isabelle DubéLa Presse",2018-01-22 07:05EST,Transports
"
Helene DAUSCHY, Daniel BOSQUEAgence France-PresseCopenhague et Barcelone",2018-01-22 07:19EST,Europe
"
La Presse Canadienne",2018-01-22 07:37EST,National
"
La Presse Canadienne",2018-01-22 07:44EST,Faits divers
"
Agence France-PresseNew York",2018-01-22 08:01EST,Marchés
"
Associated PressParis",2018-01-22 08:08EST,Europe
"
Audrey Ruel-ManseauLa PresseSuivre @aruelmanseau",2018-01-22 08:19EST,Régional
"
Jerome CARTILLIERAgence France-PresseWASHINGTON",2018-01-22 08:41EST,États-Unis
"
Pan PylasAgence France-PresseDAVOS, Suisse",2018-01-22 08:41EST,International
"
Jean-Philippe DécarieLa Presse",2018-01-22 08:54EST,Québec
"
Agence France-PresseBERLIN",2018-01-22 09:06EST,Europe
"
La Presse Canadienne",2018-01-22 09:09EST,Faits divers
"
Mario CloutierLa Presse",2018-01-22 09:14EST,Critiques de spectacles
"
Martin CroteauLa PresseSuivre @martincroteau",2018-01-22 09:18EST,Grand Montréal
"
Richard TherrienLe SoleilSuivre @zaptele",2018-01-22 09:24EST,Télévision
"
Delphine TOUITOUAgence France-PresseWashington",2018-01-22 09:10EST,États-Unis
"
Alain BrunetLa PresseSuivre @ABAlainBrunet",2018-01-22 09:28EST,Critiques CD
"
Stéphanie ValletLa Presse",2018-01-22 09:32EST,Entrevues
"
Agence France-PresseDOUMA",2018-01-22 09:32EST,Guerre civile en Syrie
"
Pierre-Marc DurivageLa Presse",2018-01-22 09:40EST,Conseils
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-01-22 09:39EST,Grand Montréal
"
Francesco FONTEMAGGIAgence France-PresseLONDRES",2018-01-22 09:43EST,Europe
"
Eric BernaudeauAgence France-PresseLausanne, Suisse",2018-01-22 09:43EST,Olympisme
"
Jean-Christophe LaurenceLa Presse",2018-01-22 09:47EST,Bons plans
"
Agence France-PresseParis",2018-01-22 09:50EST,Applications
"
Agence France-PresseParis",2018-01-22 10:08EST,Techno
"
Agence France-PresseMoscou",2018-01-22 10:13EST,PyeongChang 2018
"
Alexandre VigneaultLa PresseSuivre @AVigneault",2018-01-22 10:17EST,Famille
"
La Presse Canadienne",2018-01-22 10:18EST,Politique canadienne
"
Laurent LOZANOAgence France-PresseJÉRUSALEM",2018-01-22 10:19EST,Moyen-Orient
"
Didier BertCollaboration spécialeLa Presse",2018-01-22 10:51EST,REER
"
La Presse Canadienne",2018-01-22 10:51EST,Politique québécoise
"
Alexandre Geoffrion-McInnisLa Presse Canadienne",2018-01-22 10:53EST,Ski et surf
"
Jean-François CodèreLa Presse CanadienneSuivre @jfcodere",2018-01-22 10:56EST,Transports
"
La Presse CanadienneMontréal",2018-01-22 11:00EST,Énergie et ressources
